2023-05-21 16:59:47 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 16:59:47
2023-05-21 16:59:47 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-21 17:00:39 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 17:00:39
2023-05-21 17:00:39 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-21 17:00:39 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.11s)
2023-05-21 17:00:39 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-21 17:00:52 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (13.00s)
2023-05-21 17:16:32 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 17:16:32
2023-05-21 17:16:32 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-21 17:17:52 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 17:17:52
2023-05-21 17:17:52 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-21 17:22:46 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 17:22:46
2023-05-21 17:22:46 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-21 18:04:52 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 18:04:52
2023-05-21 18:04:52 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-21 18:05:45 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 18:05:45
2023-05-21 18:05:45 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-21 18:06:32 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 18:06:32
2023-05-21 18:06:32 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-21 18:06:33 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.10s)
2023-05-21 18:06:33 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-21 18:06:49 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (16.59s)
2023-05-21 18:20:23 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-21 18:20:23
2023-05-21 18:20:23 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 00:26:47 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 00:26:47
2023-05-22 00:26:47 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 00:34:40 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 00:34:40
2023-05-22 00:34:40 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 00:44:24 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 00:44:24
2023-05-22 00:44:24 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 00:45:55 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 00:45:55
2023-05-22 00:45:55 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 00:46:26 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 00:46:26
2023-05-22 00:46:26 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 00:46:26 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.04s)
2023-05-22 00:46:26 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-22 00:46:35 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (9.07s)
2023-05-22 16:35:32 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 16:35:32
2023-05-22 16:35:32 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 16:35:32 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.14s)
2023-05-22 16:35:32 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-22 16:35:44 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (12.18s)
2023-05-22 16:42:23 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 16:42:23
2023-05-22 16:42:23 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:10:49 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 17:10:49
2023-05-22 17:10:49 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:11:22 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 17:11:22
2023-05-22 17:11:22 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:13:27 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 17:13:27
2023-05-22 17:13:27 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:14:50 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 17:14:50
2023-05-22 17:14:50 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:15:17 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 17:15:17
2023-05-22 17:15:17 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:17:50 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 17:17:50
2023-05-22 17:17:50 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:18:22 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 17:18:22
2023-05-22 17:18:22 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:20:25 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 17:20:25
2023-05-22 17:20:25 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:20:40 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-22 17:20:40
2023-05-22 17:20:40 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-22 17:20:40 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.06s)
2023-05-22 17:20:40 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-22 17:20:53 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (12.74s)
2023-05-23 09:47:33 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 09:47:33
2023-05-23 09:47:33 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 09:59:11 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 09:59:11
2023-05-23 09:59:11 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 10:02:10 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 10:02:10
2023-05-23 10:02:10 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 10:03:31 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 10:03:31
2023-05-23 10:03:31 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 11:18:08 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 11:18:08
2023-05-23 11:18:08 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 11:51:19 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 11:51:19
2023-05-23 11:51:19 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 11:51:19 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.08s)
2023-05-23 11:51:19 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-23 11:51:31 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (11.72s)
2023-05-23 11:55:37 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 11:55:37
2023-05-23 11:55:37 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 11:55:37 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.03s)
2023-05-23 11:55:37 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-23 11:55:45 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (7.92s)
2023-05-23 12:02:30 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 12:02:30
2023-05-23 12:02:30 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 12:03:10 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 12:03:10
2023-05-23 12:03:10 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 12:03:10 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.03s)
2023-05-23 12:03:10 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-23 12:03:18 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (8.25s)
2023-05-23 12:06:56 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 12:06:56
2023-05-23 12:06:56 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 12:06:56 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.08s)
2023-05-23 12:06:56 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-23 12:07:07 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (10.76s)
2023-05-23 12:08:44 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 12:08:44
2023-05-23 12:08:44 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 12:08:44 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.05s)
2023-05-23 12:08:44 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-23 12:08:54 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (10.00s)
2023-05-23 13:38:33 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 13:38:33
2023-05-23 13:38:33 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 13:38:33 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.09s)
2023-05-23 13:38:33 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-23 13:38:56 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (23.48s)
2023-05-23 13:40:01 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 13:40:01
2023-05-23 13:40:01 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 13:40:36 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 13:40:36
2023-05-23 13:40:36 | DEBUG   | module.helpers.otimize |    optimize_epso     |   20 | Initializing Optimization ...
2023-05-23 13:40:36 | DEBUG   | module.helpers.otimize |    optimize_epso     |   48 | Initializing Optimization ... ... Ok! (0.08s)
2023-05-23 13:40:36 | DEBUG   | module.helpers.otimize |    optimize_epso     |   51 | Running EPSO ...
2023-05-23 13:40:55 | DEBUG   | module.helpers.otimize |    optimize_epso     |   53 | Running EPSO ... ... Ok! (19.12s)
2023-05-23 16:26:47 | INFO    |       __main__       |     optimization     |   98 |  -- MILP START: 2023-05-23 16:26:47
